date,open,high,low,close,volume
2021-03-08,10879.969,10933.783,10483.293,10484.792,15502797100
2021-03-09,10466.357,10539.314,10208.453,10293.105,15312502100
2021-03-10,10430.049,10450.25,10318.495,10337.447,11262036200
2021-03-11,10389.298,10620.552,10389.298,10619.26,12183248900
2021-03-12,10670.385,10673.056,10546.933,10663.94,13262605400
2021-03-15,10618.819,10647.097,10404.494,10488.269,13908147400
2021-03-16,10518.304,10591.332,10436.0,10566.057,10676023900
2021-03-17,10526.88,10602.704,10432.647,10550.225,9293165300
2021-03-18,10572.952,10645.433,10553.876,10598.456,8820757700
2021-03-19,10468.472,10503.129,10308.735,10357.957,10399804700
2021-03-22,10367.709,10485.412,10350.851,10452.149,9782927900
2021-03-23,10454.746,10457.757,10282.305,10372.493,9800592600
2021-03-24,10330.314,10392.506,10179.608,10198.653,10401519800
2021-03-25,10160.403,10257.522,10135.656,10205.433,8334932600
2021-03-26,10252.194,10417.167,10252.194,10395.574,8896316400
2021-03-29,10427.271,10490.026,10342.148,10429.401,8767717700
2021-03-30,10425.271,10539.778,10400.59,10529.184,8912010800
2021-03-31,10513.004,10513.004,10370.911,10430.997,9282318000
2021-04-01,10449.439,10549.668,10442.097,10539.123,7642183900
2021-04-02,10566.968,10630.656,10534.492,10626.077,7415139000
2021-04-06,10655.898,10659.319,10551.568,10584.451,6303188500
2021-04-07,10581.528,10581.528,10445.145,10523.39,9051908300
2021-04-08,10471.512,10596.116,10444.598,10562.507,9479409500
2021-04-09,10539.191,10539.802,10382.247,10408.236,7568759900
2021-04-12,10386.059,10427.364,10248.305,10279.447,9189004500
2021-04-13,10281.907,10344.648,10202.478,10233.817,7414909700
2021-04-14,10245.975,10305.163,10202.085,10281.093,6496075500
2021-04-15,10253.13,10253.13,10109.405,10202.457,6416766500
2021-04-16,10240.071,10277.144,10154.395,10251.681,6610377200
2021-04-19,10249.587,10456.513,10189.781,10451.193,9066501700
2021-04-20,10406.587,10514.067,10393.412,10442.586,8102278900
2021-04-21,10392.336,10481.913,10373.06,10454.517,6909564300
2021-04-22,10479.883,10489.023,10368.348,10398.355,7047373400
2021-04-23,10391.593,10502.23,10379.246,10475.104,6941651100
2021-04-26,10513.891,10551.132,10320.985,10332.035,8276292200
2021-04-27,10337.779,10365.302,10271.973,10349.802,7577423600
2021-04-28,10306.019,10379.922,10280.34,10379.922,7248437500
2021-04-29,10397.583,10487.844,10356.352,10477.284,9051603200
2021-04-30,10462.199,10467.612,10323.503,10383.529,10960896400
2021-05-06,10361.617,10450.076,10274.047,10308.496,10400607300
2021-05-07,10331.716,10373.168,10208.3,10217.457,11219757500
2021-05-10,10228.726,10250.186,10131.047,10216.607,11902813300
2021-05-11,10145.183,10305.289,10090.891,10285.277,9885870000
2021-05-12,10241.342,10336.34,10233.935,10319.515,8393842200
2021-05-13,10221.876,10275.795,10170.5,10213.881,8420405100
2021-05-14,10243.638,10454.97,10189.141,10450.458,10696760100
2021-05-17,10442.478,10595.927,10442.478,10554.623,9790499500
2021-05-18,10562.782,10584.665,10512.801,10559.391,7558513800
2021-05-19,10533.271,10533.271,10465.064,10490.94,7397819400
2021-05-20,10478.598,10541.604,10434.571,10510.688,8993589900
2021-05-21,10534.001,10566.245,10390.972,10404.231,7223539000
2021-05-24,10404.461,10443.057,10337.063,10442.571,7529616200
2021-05-25,10458.649,10809.855,10457.905,10798.329,11892626400
2021-05-26,10832.985,10888.639,10815.702,10843.964,11510205400
2021-05-27,10815.785,10962.16,10775.477,10865.95,9604618000
2021-05-28,10872.211,10940.18,10789.184,10861.081,10176315500
2021-05-31,10855.279,10870.485,10768.202,10870.21,9267714800
2021-06-01,10842.241,10873.286,10733.901,10868.178,8956942800
2021-06-02,10887.048,10898.307,10730.573,10775.515,8513017100
2021-06-03,10769.853,10819.009,10709.507,10710.355,9282980500
2021-06-04,10653.223,10872.979,10648.702,10761.644,9073357800
2021-06-07,10763.167,10767.899,10685.543,10745.573,7809133600
2021-06-08,10739.092,10838.627,10616.044,10675.209,8202442500
2021-06-09,10663.604,10724.953,10654.496,10693.639,7476230300
2021-06-10,10691.295,10820.394,10677.972,10757.871,8377411400
2021-06-11,10765.124,10765.99,10633.144,10654.553,11302983300
2021-06-15,10634.561,10649.566,10475.87,10510.885,9335479700
2021-06-16,10502.072,10524.183,10372.047,10385.993,8327127700
2021-06-17,10372.415,10458.642,10367.863,10406.715,7775830300
2021-06-18,10392.233,10426.094,10295.353,10370.251,8923558300
2021-06-21,10333.587,10382.618,10261.249,10318.524,7986786300
2021-06-22,10351.619,10416.976,10336.34,10406.504,8202390500
2021-06-23,10415.846,10496.373,10392.365,10428.582,8381051600
2021-06-24,10441.949,10470.375,10380.886,10459.883,8043422600
2021-06-25,10467.754,10646.927,10457.179,10623.44,10639054300
2021-06-28,10644.593,10649.734,10551.307,10593.426,8689021200
2021-06-29,10580.073,10583.244,10468.189,10486.675,7938032500
2021-06-30,10479.146,10561.492,10476.351,10547.031,6564985700
2021-07-01,10581.399,10625.291,10489.054,10595.198,8116816300
2021-07-02,10507.275,10507.275,10282.94,10295.991,8588932700
2021-07-05,10282.43,10328.795,10231.779,10310.921,8678892100
2021-07-06,10315.711,10325.329,10216.092,10315.3,8858125400
2021-07-07,10251.179,10416.235,10242.448,10396.903,10139735600
2021-07-08,10412.637,10417.248,10269.374,10285.977,11767872400
2021-07-09,10239.584,10280.084,10148.156,10258.047,11370947000
2021-07-12,10333.146,10413.925,10265.388,10341.184,14302661100
2021-07-13,10331.889,10385.694,10310.845,10360.713,11461449700
2021-07-14,10341.695,10341.695,10199.484,10216.633,12639249600
2021-07-15,10197.469,10402.224,10193.699,10395.762,12479411100
2021-07-16,10368.979,10376.572,10268.564,10278.06,11137755000
2021-07-19,10252.839,10328.54,10166.158,10313.192,10212134200
2021-07-20,10245.371,10307.933,10227.22,10298.664,8850792800
2021-07-21,10321.959,10389.41,10312.443,10357.707,11576479800
2021-07-22,10351.169,10403.225,10331.694,10377.367,13058664300
2021-07-23,10367.331,10367.331,10274.278,10289.072,15495858500
2021-07-26,10238.726,10238.726,9850.903,9962.803,16105076900
2021-07-27,9960.247,9989.86,9629.834,9643.923,16736113300
2021-07-28,9574.029,9718.559,9513.034,9672.268,12979181700
2021-07-29,9821.65,9831.738,9722.369,9802.136,11892361500
2021-07-30,9746.536,9746.536,9636.08,9709.092,12725685000
2021-08-02,9665.399,9954.621,9586.025,9943.953,15419981000
2021-08-03,9891.509,9990.411,9856.55,9941.034,14317654100
2021-08-04,9922.556,10011.671,9909.205,10001.85,12390830700
2021-08-05,9945.715,10070.425,9899.54,9976.78,11784084000
2021-08-06,9953.583,9955.421,9867.0,9919.886,10893754100
2021-08-09,9856.782,10079.773,9848.295,10041.713,12306623500
